Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Colombia,COL,GDP (current US$),NY.GDP.MKTP.CD,4040948305,4552914130,4968598031,4838841456,5992169467,5790247619,5452762963,5727208180,5918467519,6405440200,7198373469,7820367893,8671371951,10315774588,12370045405,13098633902,15341403660,19470978268,23263511958,27940389361,33400712095,36388389129,38968019453,38729822782,38253120738,34894419525,34942483688,36373312083,39212545681,39540083646,40274204595,41239551378,49279585355,55802540101,81703496604,92507277798,97160111573,1.0666E+11,98443743191,86186156584,99886577576,98203544965,97933392356,94684582573,1.17075E+11,1.46566E+11,1.6259E+11,2.07416E+11,2.43982E+11,2.33822E+11,2.87018E+11,3.35415E+11,3.6966E+11,3.80063E+11,3.7774E+11
Comoros,COM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,123505661.3,114271876.3,107089562.7,111519674,107489831.8,114490708.9,162487778.5,196433673.8,207476558.4,198733188.2,250030778.4,246823412.9,266191082.8,263568133.1,185761813.2,231896233.7,230495756.5,212099640.8,215394048.6,222580461.6,201899883.6,220093828.3,246737670.8,317562300.8,368143111,380372884.8,406111892.7,462453622,523134877.7,524157263.9,530493417.6,586281824.1,570865871.9,618664794,647720102.5
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,142246875.5,139468114.6,140630758.6,138476239.4,132019065,137728155.2,190651208,235253171.8,264308140.3,267448513.1,306891107.3,319827058.6,357160985.3,490417389.7,406580652.3,487148993.5,501979075.4,490608657.9,521910560.5,592416703.1,539227052.9,563024256.7,620974807.1,813963933.8,924318505.9,971976952.2,1107890815,1513934037,1789332788,1711816593,1664310632,1864823991,1751887838,1837909383,1871187334
Costa Rica,CRI,GDP (current US$),NY.GDP.MKTP.CD,507516613.3,490324260.7,479181219.9,511902559.4,542578815.2,592981162.3,647305630.2,699456618.9,773841494.3,853630203.8,984830158.5,1077152881,1238251653,1528916176,1666544790,1960863537,2412555513,3072427124,3523208937,4035519469,4831447176,2623807082,2606621246,3976453954,4593908762,4796628461,5477895475,5841132962,6063759371,6866402028,7403457319,7162546761,8573611050,9638291587,10557530654,11722357067,11843228540,12828975924,14101753567,15796567138,15946443103,16403602943,16844378578,17517536016,18596365927,19964925503,22526463619,26322000105,29837895769,29382694861,36298327620,41237293551,45300669857,49236710394,49552580683
Caribbean small states,CSS,GDP (current US$),NY.GDP.MKTP.CD,1859229127,2010807365,2120345751,2258228757,2429886817,2614400289,2834716243,3047396318,3031236428,3303911434,3646983512,3971866810,4595320672,5050458052,6535038886,7650579946,7874820032,9115305702,9329515049,10715529705,13198346287,14416121413,16021593674,16406832298,15572528823,15339714647,13910360616,14931366009,15805757938,16151256708,17581092366,17457961941,17177932579,17881237286,18982650105,20821836849,22680636447,25356787976,27847248270,29613300913,32283550906,33156568948,34952635476,37422356831,40770535976,46644709705,52406022694,58258651663,66487175102,55997346880,59206873544,63821937994,65253803029,66803441355,
Cuba,CUB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,5693005244,6914658389,8135150889,9987709686,11405957363,13027415252,13789579893,14206158658,17844705319,19584443219,19912889808,20150254124,20953510266,22205716020,24039383641,22921491787,24226283927,25213614325,27458999536,27025200369,28645436551,24317883624,22085858204,22367254851,28448326796,30428638304,25017300000,25366200000,25736600000,28365300000,30565200000,31683300000,33590400000,35901500000,38202800000,42644200000,52742100000,58603500000,60806300000,62078600000,64328200000,68990140000,73139050000,77149700000,
Curacao,CUW,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012444074,,,,,,,,,,3207032513,,,,,,,,
Cyprus,CYP,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,489912541.5,576090015.5,734876215.4,964024708.1,1288699035,2154311277,2087496374,2159242417,2160364071,2278248953,2430411900,3090734463,3704813886,4278792597,4563482604,5591130218,5770197348,6912150456,6590291048,7425703929,9914864166,9989422836,9504538198,10209966063,10443559871,9929632422,10328979964,11345759615,14445240091,17164625000,18270009451,19866878479,23716042497,27493064742,25593262401,25247424011,27089174646,24940600822,24057251749,23226158986
Czech Republic,CZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40315846934,29557058045,34451991510,40452245052,47364870592,59537113791,66775046785,61621364981,66372594575,64719461255,61474265135,67375623427,81696651659,99300329682,1.18976E+11,1.3599E+11,1.55213E+11,1.88818E+11,2.35205E+11,2.0573E+11,2.07016E+11,2.27307E+11,2.06751E+11,2.08796E+11,2.05523E+11
Germany,DEU,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,2.15022E+11,2.49039E+11,2.98667E+11,3.96867E+11,4.43619E+11,4.8878E+11,5.17788E+11,5.98226E+11,7.37668E+11,8.78011E+11,9.46695E+11,7.97443E+11,7.73638E+11,7.67768E+11,7.22368E+11,7.29763E+11,1.0423E+12,1.29326E+12,1.39593E+12,1.39367E+12,1.76497E+12,1.86187E+12,2.12313E+12,2.06856E+12,2.20597E+12,2.5905E+12,2.50157E+12,2.21594E+12,2.23991E+12,2.19669E+12,1.94721E+12,1.94793E+12,2.0763E+12,2.50231E+12,2.81547E+12,2.85763E+12,2.99862E+12,3.43568E+12,3.74692E+12,3.41298E+12,3.41221E+12,3.75188E+12,3.53324E+12,3.73026E+12,3.85256E+12
Djibouti,DJI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,340989541.5,,373371753,395794554.2,409220103.3,452328105,462422016.6,478058323.6,466048487.5,491689240,497723980.1,494004667.1,502675561.7,514267889.4,536080169.1,551230861.9,572417440.8,591122039.6,622044665.5,666072101.8,708633194.7,768873684,847918929.1,999105339.3,1198997305,1128611700,1239144502,1353632942,1456344495,1581519706
Dominica,DMA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,36370369.73,45170369.57,44296295.51,59099998.96,66218517.35,72051850.58,79925924.51,89848146.56,98585183.44,112074072.1,126348145.9,143766664.1,153374071.4,166322219.3,180437033.9,191759255.9,200418515,215459255.5,224037033.1,236444440.3,245781477.1,258440736.2,267740736,335845808.9,343119364.3,337695734.8,350091216,374771474.9,370370370.4,397777777.8,428888888.9,468888888.9,498888888.9,492962963,508518518.5,514814814.8,516666666.7,537777777.8
Denmark,DNK,GDP (current US$),NY.GDP.MKTP.CD,6248946880,6933842099,7812968114,8316692386,9506678763,10678897387,11721248101,12788479692,13196541952,15009384585,16866160000,18823155542,22966370714,30459575172,33900572610,40251070273,44401703888,49666411247,60281344068,70309789013,70867456839,61376982901,59916302626,60188398032,58673425642,62220603224,87800284266,1.0915E+11,1.15112E+11,1.11887E+11,1.38095E+11,1.38965E+11,1.52691E+11,1.42963E+11,1.56145E+11,1.85007E+11,1.87632E+11,1.73538E+11,1.76992E+11,1.77965E+11,1.64159E+11,1.64791E+11,1.78635E+11,2.18096E+11,2.51243E+11,2.6456E+11,2.82961E+11,3.195E+11,3.52592E+11,3.19762E+11,3.19811E+11,3.41499E+11,3.22277E+11,3.35878E+11,3.41952E+11
Dominican Republic,DOM,GDP (current US$),NY.GDP.MKTP.CD,672399700,654100200,824100000,940799900,1025599900,888100000,983900000,1034800000,1079100000,1230500000,1485400100,1666400000,1987300000,2344699900,2925600000,3599300100,3951399900,4587100200,4774400000,5498800100,6631000100,7266999800,7964000300,8622000100,10330399700,5044579947,6122128248,5827050857,5374300243,6686592729,7073674721,9724379020,11277694537,12976408000,14511134921,16358496124,18131813001,19593449903,21171235998,21709041189,23996656676,24894907435,26570402719,21268012747,22163928098,33431028341,35779542420,43685737619,47523573518,47889071494,53042973603,58026114991,60441438857,61198258779,63968961563
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,2723637620,2434766866,2001460839,2703004010,2909340115,3136284385,3039859268,3370870461,3852147113,4257253358,4863487557,5077222330,6761786484,8715106129,13209713770,15557934473,17728348385,20971901063,26364491675,33243421339,42345276288,44348670724,45207090668,48801372228,53698280323,57937867717,63696299985,66742269090,59089065517,55631488294,62045098370,45715368144,48003297249,49946456681,42542573602,41764054035,46941496308,48177861891,48187780126,48640613515,54790058957,54744716706,56760288962,67863832648,85324997370,1.03198E+11,1.17027E+11,1.34977E+11,1.71001E+11,1.37211E+11,1.61207E+11,1.99071E+11,2.04331E+11,2.10183E+11,2.14063E+11
East Asia & Pacific (developing only),EAP,GDP (current US$),NY.GDP.MKTP.CD,80641521654,70820227483,64895298560,69790404798,80977471375,94497219160,1.03394E+11,1.0027E+11,1.01269E+11,1.13716E+11,1.26739E+11,1.36022E+11,1.54222E+11,1.94557E+11,2.20064E+11,2.47284E+11,2.51462E+11,2.90914E+11,2.82872E+11,3.28066E+11,3.79977E+11,4.06668E+11,4.23967E+11,4.44095E+11,4.80367E+11,5.25347E+11,5.21888E+11,5.15145E+11,5.76073E+11,6.2474E+11,6.70424E+11,7.3031E+11,8.16673E+11,8.80658E+11,1.06184E+12,1.31241E+12,1.50765E+12,1.5632E+12,1.42949E+12,1.56995E+12,1.73021E+12,1.84234E+12,2.03658E+12,2.30041E+12,2.66735E+12,3.0838E+12,3.71035E+12,4.69314E+12,5.93312E+12,6.43025E+12,7.78647E+12,9.51506E+12,1.06082E+13,1.16856E+13,1.25713E+13
East Asia & Pacific (all income levels),EAS,GDP (current US$),NY.GDP.MKTP.CD,1.53599E+11,1.54236E+11,1.57752E+11,1.75443E+11,2.0169E+11,2.24522E+11,2.50972E+11,2.72065E+11,2.99849E+11,3.45394E+11,4.04759E+11,4.48956E+11,5.57023E+11,7.34663E+11,8.46239E+11,9.26628E+11,1.01889E+12,1.21503E+12,1.53331E+12,1.66652E+12,1.80231E+12,1.99134E+12,1.9482E+12,2.06617E+12,2.21429E+12,2.34625E+12,3.05632E+12,3.57458E+12,4.30656E+12,4.50694E+12,4.72003E+12,5.31431E+12,5.7998E+12,6.49304E+12,7.24692E+12,8.18461E+12,7.87039E+12,7.56156E+12,6.73859E+12,7.52166E+12,8.12017E+12,7.55404E+12,7.68145E+12,8.44507E+12,9.47089E+12,1.00832E+13,1.07055E+13,1.20014E+13,1.3841E+13,1.42479E+13,1.66161E+13,1.92374E+13,2.0596E+13,2.08079E+13,2.14218E+13
Europe & Central Asia (developing only),ECA,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12327E+11,3.28929E+11,3.63122E+11,4.16598E+11,3.87307E+11,3.73148E+11,3.84819E+11,3.14704E+11,3.618E+11,3.71707E+11,3.89996E+11,4.69203E+11,4.24843E+11,4.32281E+11,3.82992E+11,4.4236E+11,5.63219E+11,7.21938E+11,8.97448E+11,1.05038E+12,1.33685E+12,1.60002E+12,1.33378E+12,1.52343E+12,1.70826E+12,1.74645E+12,1.87596E+12,1.81104E+12
Europe & Central Asia (all income levels),ECS,GDP (current US$),NY.GDP.MKTP.CD,4.33354E+11,4.61316E+11,5.04346E+11,5.56149E+11,6.15892E+11,6.70197E+11,7.28102E+11,7.83372E+11,8.17014E+11,8.96999E+11,1.00854E+12,1.13738E+12,1.36298E+12,1.73117E+12,1.95598E+12,2.2852E+12,2.37526E+12,2.6919E+12,3.28569E+12,4.01982E+12,4.55321E+12,4.05237E+12,3.90525E+12,3.78843E+12,3.6406E+12,3.76845E+12,5.14307E+12,6.35598E+12,7.07535E+12,7.23145E+12,8.84737E+12,9.12484E+12,9.79434E+12,9.00072E+12,9.41279E+12,1.07528E+13,1.09696E+13,1.03894E+13,1.06484E+13,1.05272E+13,9.92109E+12,1.00252E+13,1.09705E+13,1.33785E+13,1.55956E+13,1.66031E+13,1.79769E+13,2.10169E+13,2.30777E+13,2.03119E+13,2.08221E+13,2.29225E+13,2.19902E+13,2.29125E+13,2.31133E+13
Ecuador,ECU,GDP (current US$),NY.GDP.MKTP.CD,1010325142,979108808,958598194.5,1038389642,1156150889,2387048255,2429309514,2553596092,2582180794,3112166848,2862504170,2754220263,3185987235,3891755552,6599259421,7731677257,9091924305,11026346590,11922502171,14175166008,17881514683,21810767209,19929853575,17152483214,16912515183,17149094590,15314143988,13945431882,13051886552,13890828708,15239278100,16988184456,18093864475,18938326276,22708204405,24432379906,25225872274,28161471483,27981319125,19644866963,18327386416,24468324000,28548945000,32432859000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87623411000,94472680000,1.00543E+11
"Egypt, Arab Rep.",EGY,GDP (current US$),NY.GDP.MKTP.CD,,,,,,5111621014,5339520728,5579168510,6109112150,6861743508,7682492029,8266003360,8763960930,9616725609,9015166840,11437965585,13360477393,14636028510,14849909040,18150000831,22912499601,23405404413,25592366024,28137368517,30642873697,34689560465,35880262340,40507934171,35044633219,39648442534,43130415172,36970555162,41855483493,46578631173,51897983700,60159244528,67629717779,78436575857,84828807306,90710704004,99838541029,97632008178,87850680624,82923680691,78845185716,89685724897,1.07484E+11,1.30479E+11,1.62818E+11,1.88982E+11,2.18888E+11,2.36002E+11,2.62824E+11,2.71973E+11,2.86538E+11
Euro area,EMU,GDP (current US$),NY.GDP.MKTP.CD,2.45704E+11,2.70455E+11,3.00133E+11,3.36702E+11,3.74489E+11,4.08641E+11,4.4561E+11,4.8406E+11,5.18927E+11,5.73265E+11,6.42133E+11,7.27799E+11,8.79273E+11,1.14138E+12,1.29421E+12,1.50079E+12,1.56606E+12,1.78121E+12,2.18118E+12,2.6424E+12,2.95971E+12,2.57245E+12,2.49055E+12,2.42971E+12,2.3307E+12,2.39457E+12,3.36074E+12,4.15707E+12,4.57213E+12,4.67058E+12,5.87797E+12,6.1111E+12,6.74212E+12,6.17515E+12,6.52232E+12,7.527E+12,7.61564E+12,6.95944E+12,7.1513E+12,7.11948E+12,6.48891E+12,6.59282E+12,7.17086E+12,8.84652E+12,1.0142E+13,1.05234E+13,1.11719E+13,1.28652E+13,1.41045E+13,1.28982E+13,1.26354E+13,1.36217E+13,1.26428E+13,1.31863E+13,1.34027E+13
Eritrea,ERI,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477101651.6,467876293.7,531688311.7,578015625,693535954.2,686494476.1,745526149.5,688921325.7,706370812.3,752368494.5,729321364.1,870247701.7,1109054002,1098424709,1211161880,1317974493,1380188800,1856695550,2117039511,2607739837,3091967480,3444097561,3857821138
Spain,ESP,GDP (current US$),NY.GDP.MKTP.CD,12072126075,13834300571,16138545209,19074913948,21343844644,24756958695,28721062242,31647119228,31475548481,36038711600,40881625862,46492694611,58971783588,78426042262,97009806749,1.14465E+11,1.18185E+11,1.3209E+11,1.60163E+11,2.14019E+11,2.32135E+11,2.02257E+11,1.95464E+11,1.70487E+11,1.71635E+11,1.80302E+11,2.50638E+11,3.17882E+11,3.75139E+11,4.1363E+11,5.35101E+11,5.75599E+11,6.29202E+11,5.23649E+11,5.29122E+11,6.1294E+11,6.40998E+11,5.88692E+11,6.17042E+11,6.33194E+11,5.95403E+11,6.25976E+11,7.05146E+11,9.06853E+11,1.06956E+12,1.15728E+12,1.26455E+12,1.47934E+12,1.63499E+12,1.49907E+12,1.43167E+12,1.49451E+12,1.35573E+12,1.39304E+12,1.40431E+12
Estonia,EST,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4362234461,4739237872,5059174932,5607965291,5715289608,5685524740,6233551159,7308655929,9822154472,12057639752,14003482154,16958976289,22229811114,24184854255,19641844957,19482251656,22802057270,22660728507,24880264958,25904874312
Ethiopia,ETH,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,7324903166,7707678023,8567890804,8096302361,9480840477,9848600893,10527338650,10908935747,11476584884,12175166751,13463868381,10492993087,8830712722,6927950563,7663984566,8547939731,8589211395,7818224903,7700833477,8242392101,8231326022,7850809494,8623691299,10131187259,12401139454,15280861839,19707616771,27066912637,32437389114,29933790334,31952763089,43310721414,47524728957,54797679658
European Union,EUU,GDP (current US$),NY.GDP.MKTP.CD,3.59243E+11,3.9112E+11,4.27269E+11,4.70695E+11,5.21639E+11,5.68071E+11,6.15805E+11,6.61726E+11,6.87795E+11,7.55435E+11,8.55525E+11,9.67713E+11,1.15871E+12,1.47128E+12,1.65355E+12,1.92781E+12,1.99663E+12,2.26113E+12,2.77108E+12,3.38439E+12,3.86284E+12,3.41773E+12,3.28962E+12,3.18859E+12,3.06099E+12,3.1642E+12,4.3387E+12,5.36884E+12,5.9887E+12,6.11383E+12,7.58245E+12,7.8693E+12,8.57516E+12,7.81872E+12,8.30262E+12,9.52662E+12,9.73441E+12,9.17237E+12,9.49441E+12,9.48095E+12,8.81452E+12,8.91626E+12,9.72486E+12,1.18561E+13,1.3692E+13,1.43153E+13,1.52772E+13,1.76661E+13,1.90128E+13,1.70054E+13,1.69378E+13,1.831E+13,1.72322E+13,1.79501E+13,1.84606E+13
Fragile and conflict affected situations,FCS,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42445E+11,1.48972E+11,1.45682E+11,1.43424E+11,1.36136E+11,1.46367E+11,1.5762E+11,1.709E+11,1.68582E+11,1.81464E+11,2.10139E+11,1.97391E+11,1.9241E+11,2.1702E+11,2.49028E+11,3.0139E+11,3.52865E+11,4.39049E+11,5.56819E+11,5.10081E+11,5.92413E+11,6.29057E+11,7.23022E+11,7.30385E+11,7.2014E+11
Finland,FIN,GDP (current US$),NY.GDP.MKTP.CD,5224102196,5921659485,6340580854,6885920329,7766655086,8589340019,9208524505,9368954010,8823033880,10070766721,11365939977,12536658142,14754086607,19486852342,24867338900,29494585421,31873211263,33524715951,36283032491,44498244543,53685049410,52485533205,52832120390,51014090521,52926394935,55914236378,73586676050,91642093873,1.09103E+11,1.19065E+11,1.41518E+11,1.27866E+11,1.12625E+11,89255751015,1.03322E+11,1.34199E+11,1.32099E+11,1.26833E+11,1.33936E+11,1.35226E+11,1.2554E+11,1.2925E+11,1.39553E+11,1.71071E+11,1.96768E+11,2.04436E+11,2.16553E+11,2.55385E+11,2.83742E+11,2.51499E+11,2.47815E+11,2.73657E+11,2.56706E+11,2.68197E+11,2.70674E+11
Fiji,FJI,GDP (current US$),NY.GDP.MKTP.CD,112334368.4,116993977.8,122912941.2,129461581.5,140040154.3,147084750,150603925.5,162625885.9,166952937.1,182182067.7,219878482.2,247749327.7,316650509,425963359.4,558589870.9,684268280.8,694552411.7,719533137.1,829239489.8,1019743927,1202567359,1235899836,1194015444,1123107276,1177997414,1141210125,1290228617,1177908192,1109976928,1182686577,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006784285,3102771322,3405085854,3523167497,2870612404,3140495193,3646434943,3849837085,3855042259,4029989729
France,FRA,GDP (current US$),NY.GDP.MKTP.CD,62651474947,68346741504,76313782252,85551113767,94906593388,1.02161E+11,1.10597E+11,1.19466E+11,1.29847E+11,1.40725E+11,1.48949E+11,1.66564E+11,2.04283E+11,2.65382E+11,2.86526E+11,3.62001E+11,3.7341E+11,4.11464E+11,5.08183E+11,6.15834E+11,7.03525E+11,6.1759E+11,5.86837E+11,5.61852E+11,5.32649E+11,5.55197E+11,7.74556E+11,9.38368E+11,1.0235E+12,1.03012E+12,1.2753E+12,1.27556E+12,1.40872E+12,1.33009E+12,1.40164E+12,1.60989E+12,1.61425E+12,1.46071E+12,1.51076E+12,1.50028E+12,1.36844E+12,1.38222E+12,1.50034E+12,1.84812E+12,2.12411E+12,2.20368E+12,2.32501E+12,2.66311E+12,2.92347E+12,2.69383E+12,2.64699E+12,2.8625E+12,2.68142E+12,2.81025E+12,2.82919E+12
Faeroe Islands,FRO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105688873,1125684470,1062339944,1154899793,1268445919,1486861879,1683997930,1730891409,1970142378,2278229533,2413237402,2257097732,2301178416,2468748768,2356505419,2613458941,
"Micronesia, Fed. Sts.",FSM,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,106500000,,,112210000,116700000,124700000,135200000,147200000,166200000,178100000,198400000,202500000,222103600,218845700,206900300,219646200,220660500,233226300,240051900,241543400,244991000,239563300,249845600,252991200,255890800,261339600,277510900,294117200,310287500,326161000,316245700,
Gabon,GAB,GDP (current US$),NY.GDP.MKTP.CD,141468977.6,167637907.4,182796536.5,154480244.2,215679855.3,226474285.6,245849781.7,271543680.3,294468564.5,318124701.1,323802475.5,381687073.1,430508357.7,722780701.1,1544216004,2157592937,3009409971,2809349074,2389479269,3030251116,4279637934,3862269127,3618007844,3391275731,3561451562,3339914759,3403638194,3281797039,3834503378,4186411457,5952293766,5402919788,5592390833,4378645081,4190819347,4958845649,5694040000,5326817111,4483417313,4662991794,5067865503,5018874131,5310381124,6497305507,7756293438,9458884044,10154041743,12438957208,15508576359,12152235489,14476054183,17830879880,17685007055,17205083304,17228443336
United Kingdom,GBR,GDP (current US$),NY.GDP.MKTP.CD,72328047042,76694360636,80601939635,85443766670,93387598814,1.00596E+11,1.07091E+11,1.11185E+11,1.04703E+11,1.12677E+11,1.30672E+11,1.48114E+11,1.69965E+11,1.92538E+11,2.06131E+11,2.41757E+11,2.32615E+11,2.63066E+11,3.35883E+11,4.38994E+11,5.64948E+11,5.40766E+11,5.15049E+11,4.89618E+11,4.61487E+11,4.89285E+11,6.01453E+11,7.45163E+11,9.10123E+11,9.26885E+11,1.09317E+12,1.1428E+12,1.17966E+12,1.06139E+12,1.14049E+12,1.23557E+12,1.30451E+12,1.43874E+12,1.52914E+12,1.55832E+12,1.54866E+12,1.52909E+12,1.67442E+12,1.94371E+12,2.29804E+12,2.41211E+12,2.58275E+12,2.9631E+12,2.79168E+12,2.309E+12,2.40786E+12,2.59202E+12,2.61495E+12,2.67817E+12,2.94189E+12
Georgia,GEO,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7772020725,6357615894,3690328964,2701181331,2513870587,2693731866,3094915506,3510540809,3613500117,2800024314,3057453483,3219487825,3395778674,3991374549,5125273881,6410941013,7745406201,10172869680,12795044473,10766836277,11638536834,14434619982,15846474596,16140047012,16529963187
Ghana,GHA,GDP (current US$),NY.GDP.MKTP.CD,1217257319,1302703460,1382546575,1540832049,1731334921,2053508895,2126348228,1747211896,1666830081,1961957055,2214923032,2417093687,2112253320,2465492958,2894409938,2810106383,2765254237,3189428571,3662478185,4020227920,4445228216,4222441860,4035994398,4057275132,4412279843,4504342209,5727602516,5074829932,5197842136,5251765023,5889175187,6603129588,6416078958,5968905457,5446370049,6464389816,6932984533,6891433770,7482072399,7718110851,4982849016,5314871667,6166197225,7632720650,8881419388,10731883142,20409257610,24758819718,28526891010,25977847814,32174772956,39566292433,41939728979,48584737987,38648154100
Guinea,GIN,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,1922600899,2041538057,2384295764,2432029380,2666616177,3014890569,3284625277,3279063318,3383218923,3693753379,3869032271,3783788551,3588375984,3461282190,2995360969,2833442750,2949637039,3446442219,3666349049,2937071740,2931625105,4134173271,4515824643,4609923720,4735956476,5067360041,5667229738,6231725512,6624068037
"Gambia, The",GMB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,44212088.42,46695008.77,41160065.83,45168072.25,52296083.65,55728655.8,59160575.51,75187768.35,95796033.66,115179737.7,112190822.6,138093106.3,171833061.6,207112649.7,241083112.7,218767720.5,216050534.8,213448615.7,177340913.1,225726370.2,185646984.5,220626480.9,266672202.5,284120331.6,317083688.2,690311093.2,714254263.1,755040935,746493955,785999879.7,848239405.6,803633368.7,840285264.6,814724055.9,782913866,687410630.5,578235309.3,487038679.4,578785600,624173995.6,655068112.4,798869803.5,965771304.1,900641059.3,951827284.9,904256027.7,912427787.4,891245556.8,807069488.2
Guinea-Bissau,GNB,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78733595.29,78540056.92,87702828.32,89374237.29,98775328.95,108985740.7,112386488.4,114971207.5,122666858.8,118537875.7,110653831.2,154731969.7,165523634.3,163577538.9,138478900.4,143856253.2,130225018.8,173836361.9,164458120.3,213143016.4,243961995.5,257150573.2,226313492.7,236880813.8,235619994.8,253966919.9,270419779.4,268551010.9,206457553.4,224446652.1,370173851.9,392278164.4,415843479.8,476388249.3,531109346.8,586791836.1,591829897.5,695606313.9,864107768.3,825796952.7,847491366.9,1103652041,958857944.2,946629755.8,1022371992
Equatorial Guinea,GNQ,GDP (current US$),NY.GDP.MKTP.CD,,,9122751.678,10840095.29,12712471.42,64748333.33,69110000,72317446.93,67514285.71,67225714.29,66331428.57,64946954.76,65429198.24,81203226.91,94159862.71,104295643.4,103653049.9,103987520.1,,,50642880.77,36731422.85,44294647.73,44442456.95,50320914.41,62118570.01,76407395.97,93345859.41,100534656.9,88265974.73,112119411.5,110906028.6,134707184,136047906,100807002.6,141853360.9,232463022.7,442337870.4,370687634.7,621117853.4,1045998534,1461139008,1806742733,2484745876,4410764261,8217368425,8081982587,10193491379,15436035471,9338605785,11564374628,15711269412,16485813032,15580315664,14308094225
Greece,GRC,GDP (current US$),NY.GDP.MKTP.CD,4446528165,5016048786,5327573509,5949478035,6680298251,7600579093,8455611129,9136711288,9915140546,11266091571,13188636364,14645454545,16947727273,22430379747,25444318182,28631243358,31267723881,36309898242,44433209647,54682612695,57039168665,52539360394,54819387755,49611068111,48197097944,47997039230,56587390458,65894816306,76542397310,79460973563,98251934652,1.05531E+11,1.16653E+11,1.0921E+11,1.17032E+11,1.37383E+11,1.46558E+11,1.43311E+11,1.44918E+11,1.42998E+11,1.3058E+11,1.36006E+11,1.52714E+11,2.01547E+11,2.39649E+11,2.47672E+11,2.73279E+11,3.18685E+11,3.54616E+11,3.29857E+11,2.99615E+11,2.88785E+11,2.49525E+11,2.42231E+11,2.37592E+11
Grenada,GRD,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,53322221.28,67548146.96,78314813.43,83614813.34,87888887.34,95229627.95,101211109.3,110099998.1,128211108.8,144011108.6,167229626.7,184533330.1,213066662.9,221070366.5,241570366.1,250914810.4,250259254.8,261777773.2,276296291.4,294651846.6,304940735.4,340814808.8,379629400.7,520044361.2,520444176,540336916.4,591018397,599118582,695370296.3,698518518.5,758518518.5,825925925.9,771111111.1,771111111.1,778518518.5,800000000,835555555.6,882222222.2
Greenland,GRL,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,69520029.27,88570999.35,106101302.5,140153753.7,169918944.1,211192463.7,240779415.7,282269773,355987428.4,420645795,476051769,435749013.9,402403057.2,416184086.2,379371913.7,412876395.8,603016317.5,787390447.3,898607670.6,929799902.2,1018977225,1016500016,1037916105,927214127.9,1005887592,1208953359,1197515638,1072154407,1149858127,1131555107,1068024994,1086170639,1169136691,1426452030,1644951892,1702543477,1738432116,2121759848,1739579594,1267711816,,,,,
