Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,18574308433,19651696719,19886885429,21500727965,23758539590,25930115354,27255011759,30383021615,32647552917,36612162616,41252099899,45127113899,51936915888,63700192184,88789977892,97098183804,1.04833E+11,1.10116E+11,1.18238E+11,1.34608E+11,1.49679E+11,1.76558E+11,1.93684E+11,1.76929E+11,1.93232E+11,1.80216E+11,1.82033E+11,1.89113E+11,2.35787E+11,2.99475E+11,3.10945E+11,3.25642E+11,3.25313E+11,3.12029E+11,3.22874E+11,3.68023E+11,4.0141E+11,4.35636E+11,3.99325E+11,3.88692E+11,4.14987E+11,3.78488E+11,3.94251E+11,4.66451E+11,6.12872E+11,6.93339E+11,7.47206E+11,8.53441E+11,1.05503E+12,9.26283E+11,1.14127E+12,1.38807E+12,1.53443E+12,1.56037E+12,1.45377E+12
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,6592693841,7311749633,7756110210,8374175258,9169983886,9994070616,10887682273,11579431669,12440625313,13582798556,15335961895,17815453244,22006488481,29444374165,35104534747,39962708383,42856485388,51421613521,61902776462,73759135358,81861199745,70863141524,71103573445,71947295848,67821539096,69219606278,98797566471,1.23869E+11,1.33018E+11,1.32785E+11,1.66062E+11,1.73375E+11,1.94608E+11,1.89921E+11,2.03045E+11,2.40458E+11,2.36721E+11,2.12323E+11,2.17684E+11,2.16725E+11,1.96422E+11,1.96954E+11,2.12971E+11,2.60721E+11,2.99857E+11,3.14649E+11,3.34309E+11,3.86459E+11,4.27612E+11,3.97594E+11,3.89679E+11,4.29073E+11,4.07575E+11,4.28322E+11,4.36344E+11
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8858006036,8792365811,4991350458,3973027397,3313739674,3052467522,3176749593,3962710163,4446396218,4581222442,5272617196,5707618247,6236024951,7275766111,8680511918,13245421881,20983019924,33050343783,48852482960,44291490421,52902703376,65951627200,68730906314,73560484385,75198010965
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,195999990,202999992,213500006,232749998,260750008,158994963,165444571.4,178297142.9,183200000,190205714.3,242732571.4,252842285.7,246804571.4,304339839.6,345263492.1,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394484.4,784654423.6,915257323.4,1117257314,1273180655,1356078300,1611634286,1739781536,2026864414,2355652064,2472384864,2714505576,3093647293
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,11658722591,12400145222,13264015675,14260017387,15960106681,17371457608,18651883472,19992040788,21376353113,23710735895,26807906414,29935284927,37351205206,47925688263,56246582436,65928375562,71384848485,83155543050,1.01632E+11,1.16759E+11,1.27312E+11,1.05129E+11,92446759668,87516370809,83667062273,86596915551,1.20476E+11,1.49964E+11,1.62917E+11,1.64847E+11,2.06114E+11,2.11313E+11,2.35676E+11,2.25578E+11,2.45817E+11,2.89123E+11,2.80791E+11,2.54099E+11,2.59822E+11,2.59667E+11,2.37336E+11,2.37398E+11,2.5839E+11,3.18573E+11,3.70446E+11,3.86954E+11,4.10699E+11,4.72309E+11,5.20091E+11,4.85834E+11,4.84433E+11,5.281E+11,4.98746E+11,5.24779E+11,5.33383E+11
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,226195578.1,235668220.9,236434954.3,253927697.6,269819005.8,289908680.2,302925235.7,306221953.4,326323105.6,330748244.1,333627713.5,335073027.9,410331856.2,504376074.1,554654861.5,676870139.3,698408261.1,750049780.2,928843468.5,1186231018,1405251844,1291120191,1267778672,1095348199,1051134009,1045712790,1336102027,1562412226,1620246085,1502294414,1959965331,1986437798,1695315186,2274558079,1598075945,2169627138,2361116448,2268301645,2455092688,2488892429,2359122303,2499269391,2807657386,3557229702,4050869968,4358015993,4705087452,5511880906,6633463907,6584477485,6561782313,7289779658,7543183759,8307221458,8746992733
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,330442817.2,350247237.1,379567178.3,394040749.1,410321785.6,422916848.4,433889831.6,450753993.2,460442864.2,478298781.5,458404330.1,482411279,578595584,674773821.2,751133642.6,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,3014665729,2632700363,2812845514,3205592290,4205691222,4838551100,5462709498,5844669846,6771277871,8369637065,8369175126,8979966766,10724061339,11166061508,12126322793,12542969275
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4274893914,4817580184,5081413341,5319458352,5386054620,5906636558,6439687599,7253575400,7483685475,8471006102,8992721811,8751842841,6288245867,8067027098,12459282563,19395903918,10083163546,9632469658,13299358553,15585961412,18114645161,20299387450,18562450000,17579454343,18996827599,22278423077,21846856465,24615653289,26579005763,27828101773,31218783739,30957483290,31708873954,33166520084,33768662171,37939748052,46438482370,48244308275,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02478E+11,1.15279E+11,1.28638E+11,1.33356E+11,1.4999E+11,1.73819E+11
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,20039627040,20056236482,19804095563,16959385666,17411159978,17562122845,20261212478,28429027237,23002459508,21746813187,20726301370,10943548387,10371900826,10831998208,9704878271,13069095618,10110256626,11195830237,14631307233,13659823860,13353530538,14303810795,16343311507,21101364345,25919754936,29299967875,33649637658,43637701889,53316403410,50161403995,48669060512,55765057234,52591569645,54479873100,55734676435
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,3072698410,3467819241,3645744778,3735106482,3905585210,3651861799,3052393698,3392021101,3702393715,3863563933,4229787347,4616223527,4751063956,5200266096,5567553606,5849467975,6101861598,6349202562,6183941062,6621186468,9063147956,8976446448,9632411234,11075116625,13150516503,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,29044069149,30756462766,32897606383,33868989362
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,169802258.5,190096177.4,212252823.1,237742769.6,266664054.9,300392162.8,340000006.7,390196086.1,444901969.5,528137265.3,538423169.8,573400000,590900000,670900000,632400000,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,4961119000,5353524000,6019972000,6327552000,6516651000,6957996000,6949317000,7094413000,7706222000,7965588000,8318996000,8246650000,7820420000,7909580000,7889750000,8234470000,8431750000,8510500000
